ID,Q1,A1,T1,Q2,A2,T2,Q3,A3,T3,Q4,A4,T4,Q5,A5,T5
68,誰從母腹就被分別為拿細耳人，力大無窮？,參孫,士師記13:5,以斯帖和末底改住在哪座波斯京城？,書珊,以斯帖記1:2,「神愛世人，甚至將祂的獨生子賜給他們」的結果是？,不至滅亡,約翰福音3:16,以斯拉在水門前宣讀律法時，所站的物體是什麼？,木台,尼希米記 8:4,耶穌在以馬忤斯路上，向幾位門徒顯現？,2,路加福音 24:13
69,誰帶領以色列人出埃及，在西奈山領受律法？,摩西,出埃及記19:20,以掃的後裔居住的地區叫什麼？,以東,創世記36:1,「彼得勸信徒在試煉中要喜樂。」出自哪一卷書？,彼得前書,彼得前書1:6-7,第二印揭開時，騎紅馬者被賜予什麼？,刀,啟示錄 6:4,保羅在以弗所，有幾位門徒說他們未聽見有聖靈？,12,使徒行傳 19:1–7
70,誰在85歲時仍請求攻打山地，說自己力量不減？,迦勒,約書亞記14:11,耶穌在哪座城醫治了癱子並赦免他的罪？,迦百農,馬可福音2:1-12,「耶穌說：『我不但為這個人祈求，也為那些因他們的話信我的人祈求。』」出自哪一卷福音書？,約翰福音,約翰福音17:20,上帝在曠野每日賜下如白霜的食物叫什麼？,吗哪,出埃及記 16:14,保羅在耶路撒冷被捕後，腓力有幾個女兒是說預言的？,4,使徒行傳 21:9
71,誰在耶穌腳前聽道，被主稱讚選了上好的福分？,馬利亞,路加福音10:42,以色列人過紅海後去哪座山領受十誡？,西奈山,出埃及記19:20,「耶穌在迦百農醫治百夫長的僕人。」出自哪一卷福音書？,馬太福音,馬太福音8:5-13,阿摩司異象中上帝用來檢驗正直的工具叫什麼？,準繩,阿摩司書 7:7,耶穌在財主和拉撒路的比喻中，財主有幾個弟兄？,5,路加福音 16:28
72,誰受聖靈感動，說出許多預言彌賽亞的詩篇？,大衛,使徒行傳2:30,腓立比位於羅馬哪一省份？,馬其頓,使徒行傳16:12,「耶穌說：『只是我告訴你們，不要與惡人作對。』」出自哪一卷福音書？,馬太福音,馬太福音5:39,摩西在曠野，上帝使什麼在晚上遮蓋會幕？,雲,出埃及記 40:38,耶穌在無花果樹旁，樹上有幾年沒有結果？,3,路加福音 13:7
73,誰是行邪術的撒瑪利亞人，後信主卻被彼得責備？,西門,使徒行傳8:9-24,大衛攻取的錫安保障又稱什麼？,大衛城,撒母耳記下5:7,「耶穌說：『為什麼看見你弟兄眼中有刺，卻不想自己眼中有梁木呢？』」出自哪一卷福音書？,馬太福音,馬太福音7:3,耶穌進耶路撒冷時，百姓手拿什麼樹枝？,棕樹枝,約翰福音 12:13,耶穌在比喻中說，有一個欠主人多少銀子的債？,10000,馬太福音 18:24
74,誰殺害施洗約翰，因女兒跳舞討他歡心？,希律,馬太福音14:6-10,大衛在哪座城被膏為全以色列的王？,希伯崙,撒母耳記下2:4；5:3,「心中喜樂，面帶笑容；心裡憂愁，靈被損傷。」出自哪一卷書？,箴言,箴言15:13,以西結書中，上帝用什麼物體預言以色列復興？,枯骨,以西結書 37:1,耶穌在好撒瑪利亞人比喻中，撒瑪利亞人給店主多少錢？,2,路加福音 10:35
75,誰與神摔跤，大腿窩被摸一把就瘸了？,雅各,創世記32:24-25,摩西在摩押平原預言十二支派未來，那地是？,摩押平原,申命記33:0,「惟獨從上頭來的智慧，先是清潔，後是和平。」出自哪一卷書？,雅各書,雅各書3:17,撒種的比喻中，農夫所撒出的農作物是什麼？,種子,馬太福音 13:3,耶穌在十個麻瘋病人比喻中，有幾人回來感謝耶穌？,1,路加福音 17:15–17
76,誰是亞利馬太的議士，安葬耶穌？,約瑟,馬太福音27:57,保羅第一次宣教時先去哪個島？,居比路,使徒行傳13:4,「保羅在腓立比被囚，地震開了監門。」出自哪一卷書？,使徒行傳,使徒行傳16:26,耶穌在客西馬尼園被捕時，彼得削掉大祭司僕人耳朵所用的武器是什麼？,刀,約翰福音 18:10,耶穌在客西馬尼園，對彼得說：「你不能和我一同儆醒幾小時？」,1,馬太福音 26:40
77,誰是該亞法的岳父，曾先審問耶穌？,亞那,約翰福音18:13-14,保羅在特羅亞使少年人猶推古復活，那城在哪？,特羅亞,使徒行傳20:7-12,「掃羅往大馬士革路上遇見主。」出自哪一卷書？,使徒行傳,使徒行傳9:3-6,耶利米打碎以示耶路撒冷將毀的陶器叫什麼？,瓦器,耶利米書 19:1,耶穌在十個童女比喻中，有幾位是愚拙的？,5,馬太福音 25:2
78,誰在山上教導「八福」？,耶穌,馬太福音5:1-3,以利沙使亞蘭將軍乃縵得潔淨的河是哪一條？,約旦河,列王紀下5:14,「耶穌在迦拿婚宴變水為酒。」出自哪一卷福音書？,約翰福音,約翰福音2:1-11,耶穌降生時所躺的飼料槽叫什麼？,馬槽,路加福音 2:7,耶穌在十個童女比喻中，有幾位是聰明的？,5,馬太福音 25:2
79,誰在變像山上看見摩西和以利亞與耶穌說話？,彼得,馬太福音17:3-4,以利亞在迦密山獻祭後，去了哪座城躲避耶洗別？,別是巴,列王紀上19:3,「彼得向哥尼流一家傳道，聖靈降臨在外邦人身上。」出自哪一卷書？,使徒行傳,使徒行傳10:44,上帝吩咐用來盛放嗎哪作永遠見證的器皿是什麼？,罐子,出埃及記 16:33,耶穌在路加福音十五章，婦人有十個銀幣，失落了幾個？,1,路加福音 15:8
80,誰靠在耶穌胸膛問誰出賣祂？,約翰,約翰福音13:25,耶穌在哪座城教導“不饒恕人的惡僕”？,耶路撒冷,馬太福音18:23,「耶穌在耶路撒冷潔淨聖殿。」出自哪一卷福音書？,馬太福音,馬太福音21:12-13,耶穌在拉撒路墓前，吩咐人挪開什麼？,石頭,約翰福音 11:38,耶穌在路加福音十五章，牧人有一百隻羊，走失了幾隻？,1,路加福音 15:4
81,誰被火車火馬接去，沒有經歷死亡？,以利亞,列王紀下2:11,耶穌在哪座城醫治了駝背十八年的婦人？,耶路撒冷,路加福音13:10-13,「摩西五經」包括哪五卷書？（答第一卷）,創世記,創世記1:1,上帝吩咐用藍紫朱紅線編織的大祭司聖衣叫什麼？,以弗得,出埃及記 28:6,耶穌在馬太福音二十五章，才幹比喻中，主人給一個僕人幾他連得銀子？,1,馬太福音 25:15
82,誰在耶穌復活清晨，第一個到墳墓那裡？,抹大拉,約翰福音20:1,迦南王耶賓的京城是哪座城？,夏瑣,士師記4:2,「心中乖僻的，為耶和華所憎惡。」出自哪一卷書？,箴言,箴言11:20,約瑟在埃及被囚時，膳長夢見什麼？,籃子,創世記 40:16,門徒說香膏可賣多少銀子賙濟窮人？,300,馬太福音 26:9
83,誰在耶穌受審時，跟到大祭司院子裡？,彼得,馬太福音26:58,耶穌在哪座城被稱為“先知耶穌”？,耶利哥,馬可福音10:46,「不要論斷人，免得你們被論斷。」出自哪一卷福音書？,馬太福音,馬太福音7:1,同樣，預表祂神性的香料是什麼？,乳香,馬太福音 2:11,猶大出賣耶穌，得了多少銀子？,30,馬太福音 26:15
84,誰是百基拉的丈夫，與妻子一同接待保羅？,亞居拉,使徒行傳18:2,亞伯拉罕在幔利橡樹那裡築壇，那地在哪？,幔利,創世記13:18,「你們要先求祂的國和祂的義。」出自哪一卷福音書？,馬太福音,馬太福音6:33,上帝用指頭在曠野山上親自書寫律法的兩片物體叫什麼？,石版,出埃及記 31:18,耶穌被釘時，兵丁分祂裡衣，共幾人分？,4,約翰福音 19:23
85,誰在何烈山進入山洞，聽見神微小的聲音？,以利亞,列王紀上19:9-12,約書亞在哪座城與基遍人立和約？,吉甲,約書亞記10:1-6,「人若賺得全世界，賠上自己的生命，有什麼益處？ 」出自哪一卷福音書？,馬太福音,馬太福音16:26,启示录中，光明婦人所披戴的天體是什麼？,日頭,啟示錄 12:1,耶穌在十架上，遍地黑暗共幾小時？,3,馬太福音 27:45
86,誰是亞哈王的家宰，曾藏一百先知？,俄巴底,列王紀上18:4,彼得在約帕使多加復活後，許多人信了主，那城是？,約帕,使徒行傳9:42,「耶穌說：『所以，凡聽見我這話不去行的，好比無知的人。』」出自哪一卷福音書？,馬太福音,馬太福音7:26,約瑟被兄弟賣給米甸商人時，他們用什麼運載他？,駱駝,創世記 37:25,耶穌在墳墓裡共幾日幾夜？,3,馬太福音 12:40
87,耶穌在伯大尼使誰從死裡復活？,拉撒路,約翰福音11:43-44,耶穌常去禱告的山，也是客西馬尼園所在地，是哪一座？,橄欖山,路加福音22:39,「耶穌說：『你們若遵行我所吩咐的，就是我的朋友了。』」出自哪一卷福音書？,約翰福音,約翰福音15:14,以西結異象中，在上帝的寶座下，活物的相貌像什麼？,火炭,以西結書 1:13,上帝造日頭、月亮、星辰是在第幾日？,4,創世記 1:14–19
88,誰因取了當滅之物，導致以色列人在艾城敗北？,亞干,約書亞記7:1,約伯居住的烏斯地在何處？,烏斯,約伯記1:1,「靠著那加給我力量的，凡事都能做。」出自哪一卷書？,腓立比書,腓立比書4:13,約瑟在埃及被囚時，法老的酒政夢見什麼樹？,葡萄樹,創世記 40:9,上帝造人是在第幾日？,6,創世記 1:26–31
89,誰在五旬節後，醫好美門旁的瘸子？,彼得,使徒行傳3:1-8,保羅與以弗所長老告別的地點是哪？,米利都,使徒行傳20:17,「彼得三次不認主，雞就叫了。」出自哪一卷福音書？,馬太福音,馬太福音26:74-75,启示录中，大淫婦手拿什麼盛滿可憎之物的器皿？,金杯,啟示錄 17:4,安息日是第幾日？,7,創世記 2:2–3
90,誰稱提摩太為「我親愛的兒子」？,保羅,提摩太前書1:2,以斯帖在書珊城中的哪座宮殿見王？,書珊,以斯帖記2:8,「凡勞苦擔重擔的人，可以到我這裡來。」出自哪一卷福音書？,馬太福音,馬太福音11:28,保羅在凱撒利亞，亞迦布用什麼預言他將被捆綁？,腰帶,使徒行傳 21:11,以色列人過約旦河時，從河中取幾塊石頭立在吉甲？,12,約書亞記 4:8
91,誰在曠野舉起銅蛇，使百姓一望就活？,摩西,民數記21:8-9,挪亞的方舟最後停在哪座山上？,亞拉臘山,創世記8:4,「耶穌在拿因城使寡婦的兒子復活。」出自哪一卷福音書？,路加福音,路加福音7:11-15,耶穌復活時，墓中留下的裹頭巾是什麼？,裹頭巾,約翰福音 20:7,耶穌在路加福音，失錢的婦人原有幾個銀錢？,10,路加福音 15:8
92,誰是唯一與約書亞一起相信神會將迦南地賜給以色列的探子？,迦勒,民數記14:24,耶穌使拉撒路復活的村莊是哪一個？,伯大尼,約翰福音11:1,「起初，神創造天地。」出自哪一卷書？,創世記,創世記1:1,拉撒路死後被包裹全身的布叫什麼？,裹屍布,約翰福音 11:44,耶穌在馬太福音十七章，預言祂第幾日復活？,3,馬太福音 17:23
93,誰懷孕生下該隱和亞伯？,夏娃,創世記4:1-2,耶穌在哪座城使睚魯的女兒復活？,迦百農,馬可福音5:22-42,「神要擦去他們一切的眼淚。」出自哪一卷書？,啟示錄,啟示錄21:4,大祭司贖罪日，把血彈在什麼上？,施恩座,利未記 16:14,約瑟被賣到埃及，時年幾歲？,17,創世記 37:2
94,誰原名掃羅，後成為外邦人的使徒？,保羅,使徒行傳13:9,約櫃在非利士地造成災禍後，被送回以色列的哪座城？,伯示麥,撒母耳記上6:13,「若有人在這預言上加添什麼，神必將寫在這書上的災禍加在他身上。」出自哪一卷書？,啟示錄,啟示錄22:18,先知以西結奉命吞下的、內外寫滿哀號的物品是什麼？,書卷,以西結書 2:9,約瑟見法老時幾歲？,30,創世記 41:46
95,誰在伯大尼使拉撒路從死裡復活？,耶穌,約翰福音11:43-44,耶穌向撒瑪利亞婦人談道的井在哪座城旁？,敘加,約翰福音4:5,「耶穌說：『不要把聖物給狗，也不要把珍珠丟在豬前。』」出自哪一卷福音書？,馬太福音,馬太福音7:6,耶穌在格拉森趕鬼，群鬼央求進入什麼動物？,豬,馬可福音 5:12,約瑟死時幾歲？,110,創世記 50:26
96,誰賣田產後私藏價銀，結果倒斃？,亞拿尼亞,使徒行傳5:1-5,耶穌在哪座城被稱為“木匠的兒子”？,拿撒勒,馬太福音13:55,「耶穌說：『要愛你們的仇敵。』」出自哪一卷福音書？,馬太福音,馬太福音5:44,亞倫在可拉叛亂後，用來止住瘟疫的物體是什麼？,香爐,民數記 16:46,摩西死時幾歲？,120,申命記 34:7
97,誰在往大馬士革路上遇見復活的主，眼睛 temporarily失明？,保羅,使徒行傳9:3-9,以利沙在約旦河使乃縵的大痲瘋得潔淨，那河是哪一條？,約旦河,列王紀下5:10-14,「這道太監從前在曠野遇見腓利。」這記載在哪一卷書？,使徒行傳,使徒行傳8:26-39,上帝吩咐以西結用來剃頭髮鬍鬚的工具是什麼？,刀,以西結書 5:1,大衛作以色列王共幾年？,40,列王紀上 2:11
98,誰又稱巴多羅買，被耶穌稱為真以色列人？,拿但業,約翰福音1:47,摩西死前登上哪座山眺望應許之地？,尼波山,申命記34:1,「路得說：『你的國就是我的國，你的神就是我的神。』」出自哪一卷書？,路得記,路得記1:16,第三印揭開時，騎黑馬者手中拿著什麼？,天平,啟示錄 6:5,所羅門作王共幾年？,40,列王紀上 11:42
99,誰在橄欖山見耶穌升天？,門徒,使徒行傳1:12,士師底波拉和巴拉聚集軍隊的地點是哪？,他泊山,士師記4:6,「愛是凡事包容，凡事相信，凡事盼望，凡事忍耐。」出自哪一卷書？,哥林多前書,哥林多前書13:7,但以理書中，巨像的腳是用什麼材料製成的？,半鐵半泥,但以理書 2:33,初代教會在耶路撒冷，最初門徒約幾人？,120,使徒行傳 1:15
100,耶穌稱哪一位門徒為「雷子」？,約翰,馬可福音3:17,摩西在何處擊打磐石出水？,米利巴,民數記20:11,「耶穌說：『我已將你的道賜給他們。』」出自哪一卷福音書？,約翰福音,約翰福音17:14,會幕帷子所用的細緻白色物叫什麼？,細麻,出埃及記 26:1,耶穌升天時，有幾位門徒在場？,11,"使徒行傳 1:13, 26"
101,誰有猶太籍母親和希臘籍父親，與保羅同行宣教？,提摩太,使徒行傳16:1,彼得在約帕時，見異象中有何種容器從天降下？,約帕,使徒行傳10:11,「司提反滿有恩惠和能力，在民間行了大奇事。」出自哪一卷書？,使徒行傳,使徒行傳6:8,雅各在伯特利，用什麼澆在石頭上？,油,創世記 28:18,耶穌在迦拿婚宴，有幾口石缸用來裝水？,6,約翰福音 2:6
102,誰在加利利海邊呼召彼得和安得烈？,耶穌,馬太福音4:18-20,耶穌在伯大尼附近的哪座村莊受膏？,伯大尼,馬太福音26:6,「世人都犯了罪，虧缺了神的榮耀。」出自哪一卷書？,羅馬書,羅馬書3:23,會幕中用來焚燒祭牲的平台叫什麼？,燔祭壇,出埃及記 27:1,亞伯拉罕獻以撒時，帶了幾個僕人同行？,2,創世記 22:3
103,誰吩咐百姓抬約櫃過約旦河，河水立起成壘？,約書亞,約書亞記3:13-17,摩西看到燃燒的荊棘的那座山叫什麼名字？,何烈山,出埃及記3:1,「耶穌說：『我若從地上被舉起來，就要吸引萬人來歸我。』」出自哪一卷福音書？,約翰福音,約翰福音12:32,會幕中分隔聖所與至聖所的物體叫什麼？,幔子,出埃及記 26:33,以撒問父親：「燔祭的羊羔在哪裡？」這是父子第幾次對話？,1,創世記 22:7
104,誰與拔示巴犯姦淫，又設計害死烏利亞？,大衛,撒母耳記下11:1-17,腓力在撒瑪利亞城傳道，那城是哪個地區的中心？,撒瑪利亞,使徒行傳8:5,「啟示錄描述新天新地。」出自哪一卷書？,啟示錄,啟示錄21:1,耶穌在變像山，臉面明亮如什麼？,日頭,馬太福音 17:2,雅各為拉結服侍拉班幾年？,7,創世記 29:20
105,誰作歌教導以色列人，又為他們祝福後離世？,摩西,申命記32:1；33:1,保羅在哥林多遇見亞居拉，那城是？,哥林多,使徒行傳18:1-2,「大衛與拔示巴犯姦淫，後設計害死烏利亞。」出自哪一卷書？,撒母耳記下,撒母耳記下11:1-17,耶穌教導門徒，點燈後應放在什麼上面照亮全家？,燈臺,馬太福音 5:15,雅各總共為拉班服侍多少年？,14,創世記 29:27–28
106,誰是議士，求彼拉多取耶穌身體並安葬祂？,約瑟,馬太福音27:57-59,撒母耳的家鄉，也是他審判以色列的地方是哪？,拉瑪,撒母耳記上7:17,「大衛用機弦甩石擊殺歌利亞。」出自哪一卷書？,撒母耳記上,撒母耳記上17:49,耶穌在麵酵比喻中，婦人把什麼藏在三斗麵裡？,麵酵,馬太福音 13:33,雅各一生共多少年？,147,創世記 47:28
107,誰為尼布甲尼撒王解夢，說夢中有大像？,但以理,但以理書2:27-45,保羅在路司得醫治瘸子，那城在哪一省？,加拉太,使徒行傳14:6,「凡祈求的，就得著；尋找的，就尋見。」出自哪一卷福音書？,馬太福音,馬太福音7:8,基甸的三百人所拿的瓦瓶內藏什麼？,火把,士師記 7:16,以撒活到幾歲？,180,創世記 35:28
108,誰審判耶穌，明知祂無罪卻定祂死罪？,彼拉多,馬太福音27:24,保羅在第二次宣教旅程中，先回到哪個城？,安提阿,使徒行傳15:35,「真理必叫你們得以自由。」出自哪一卷書？,約翰福音,約翰福音8:32,摩西在紅海，舉起什麼使海水分開？,杖,出埃及記 14:16,亞伯拉罕活到幾歲？,175,創世記 25:7
109,誰在公會面前滿有恩惠與智慧，後被石頭打死？,司提反,使徒行傳6:8-15,雅各家下埃及後住在哪個地區？,歌珊,創世記45:10,「好撒瑪利亞人」的比喻記在哪一卷福音書？,路加福音,路加福音10:25-37,同樣，用來織聖衣的紡線顏色叫什麼？,紫線,出埃及記 28:6,挪亞活到幾歲？,950,創世記 9:29
110,誰勸提摩太要剛強，不要怕為主作見證？,保羅,提摩太後書1:7,以利沙使書念婦人的兒子復活，那城在哪？,書念,列王紀下4:8,「天怎樣高過地，照樣我的道路高過你們的道路。」出自哪一卷書？,以賽亞書,以賽亞書55:9,保羅在馬耳他被動物咬手，當地人所見的叫什麼？,蛇,使徒行傳 28:3,摩西第一次上山領十誡，停留幾晝夜？,40,出埃及記 24:18
111,誰因信接待探子，全家在耶利哥得救？,喇合,約書亞記2:1-14,雅各夢見天梯的地點原名叫什麼？,路斯,創世記28:19,「耶穌看著他，就愛他。」這話記在哪一卷福音書？,馬可福音,馬可福音10:21,參孫被非利士人囚禁時，推轉的物體是什麼？,磨石,士師記 16:21,摩西第二次上山，停留幾晝夜？,40,出埃及記 34:28
112,誰與神同行，未經死亡就被神接去？,以諾,創世記5:24,約瑟被哥哥們賣時，他們在哪個地方？,多坍,創世記37:17,「看哪，我站在門外叩門。」出自哪一卷書？,啟示錄,啟示錄3:20,耶穌在 net 比喻中，壞的被丟在哪裡？,火爐,馬太福音 13:50,會幕的幔子共有幾幅？,10,出埃及記 26:1
113,誰建造方舟，使全家得救脫離洪水？,挪亞,創世記6:22,保羅在哥林多時，猶太人控告他到哪位方伯面前？,哥林多,使徒行傳18:12,「浪子回頭」的比喻記在哪一卷福音書？,路加福音,路加福音15:11-32,耶穌在迦百農醫治癱子時，朋友從屋頂縋下的物體是什麼？,褥子,馬可福音 2:4,贖罪日大祭司要獻幾隻公牛為贖罪祭？,1,"利未記 16:6, 15"
114,誰帶領以色列婦女擊鼓跳舞，讚美神勝過法老的軍隊？,米利暗,出埃及記15:20-21,耶穌在哪座城醫治了枯乾手的人？,迦百農,馬可福音3:1-5,「耶穌被釘十字架的地點叫什麼？」,各各他,馬太福音27:33,以利沙叫僕人用什麼盛油澆在耶戶頭上？,瓶,列王紀下 9:2,約書亞派幾個人窺探耶利哥？,2,約書亞記 2:1
115,誰因身材矮小爬上桑樹看耶穌，後來悔改？,撒該,路加福音19:4,耶穌在哪座山教導門徒要警醒禱告？,橄欖山,馬可福音13:32-37,「耶穌說：『我揀選了你們，並且分派你們去結果子。』」出自哪一卷福音書？,約翰福音,約翰福音15:16,但以理書中，一塊非人手鑿出的石頭打碎巨像的什麼部位？,腳,但以理書 2:34,耶利哥城牆倒塌後，以色列人圍繞城共幾圈？,13,約書亞記 6:3–4
116,誰因嫉妒摩西，長了大痲瘋？,米利暗,民數記12:10,耶穌在哪座城附近的山禱告被捕？,耶路撒冷,馬太福音26:30,「虛心的人有福了，因為天國是他們的。」出自哪一卷福音書？,馬太福音,馬太福音5:3,上帝吩咐耶利米用來打碎以示審判的陶器是什麼？,瓦瓶,耶利米書 19:1,基甸從三萬二千人中揀選多少人去打仗？,300,士師記 7:7
117,誰在野地用五餅二魚餵飽五千人？,耶穌,約翰福音6:10-11,約櫃在非利士地歸還後，安放於哪座城？,示羅,撒母耳記上4:3,「耶穌說：『你們祈求，就給你們；尋找，就尋見。』」出自哪一卷福音書？,馬太福音,馬太福音7:7,聖靈降臨時，有什麼如火焰顯現？,舌頭入火焰,使徒行傳 2:3,以利亞在迦密山對抗幾位巴力先知？,450,列王紀上 18:19
118,誰被天使救出希律的監獄，去到馬利亞的家？,彼得,使徒行傳12:6-12,雅各夢見天梯後，給那地方起名叫什麼？,伯特利,創世記28:19,「耶穌說：『我是真葡萄樹。』」出自哪一卷福音書？,約翰福音,約翰福音15:1,启示录中，新耶路撒冷的街道是由什麼材料製成的？,精金,啟示錄 21:21,以利沙使書念婦人的兒子復活後，那孩子打噴嚏幾次？,7,列王紀下 4:35
119,耶穌肉身的弟弟中，誰寫了新約中的一卷書？,猶大,猶大書1:1,約書亞在吉甲守逾越節，那地是？,吉甲,約書亞記5:10,「耶穌在加利利海平靜風浪。」出自哪一卷福音書？,馬可福音,馬可福音4:39,逾越節夜以色列人抹在門框上的犧牲之血來自什麼動物？,羔羊,出埃及記 12:5,乃縵在約旦河沐浴幾次後得潔淨？,7,列王紀下 5:14
120,誰揭露哈曼的陰謀，拯救猶太人？,末底改,以斯帖記6:10-11,保羅在庇哩亞傳道時，那裡的人天天查考聖經，那城在哪？,伯利亞,使徒行傳17:11,「清心的人有福了，因為他們必得見神。」出自哪一卷福音書？,馬太福音,馬太福音5:8,耶穌在耶路撒冷過的、紀念聖殿重獻的節日叫什麼？,修殿節,約翰福音 10:22,希西家王病癒後，上帝加增他幾年壽命？,15,列王紀下 20:6
121,誰在非利士地被囚時，雙眼被剜？,參孫,士師記16:21,以斯帖在書珊城中為猶太人禁食，那城是？,書珊,以斯帖記4:16,「要收的莊稼多，做工的人少。」出自哪一卷福音書？,馬太福音,馬太福音9:37,大衛用機弦甩出、擊中歌利亞額頭的投射物是什麼？,石子,撒母耳記上 17:49,希西家王父親亞哈斯作王幾年？,16,列王紀下 16:2
122,誰在約旦河邊為耶穌施洗？,施洗約翰,馬太福音3:13,尼希米聽見城牆被拆毀時，身在何處？,書珊,尼希米記1:1,「金蘋果在銀網子裡」比喻什麼？,合宜的話,箴言25:11,耶穌呼召彼得和安得烈時，他們正在修補的工具是什麼？,網,馬太福音 4:21,約西亞作王時幾歲？,8,列王紀下 22:1
123,誰冒死見亞哈隨魯王，拯救猶太人？,以斯帖,以斯帖記5:1-2,埃及法老的國家一般稱為什麼？,埃及,出埃及記1:11,「成了！」耶穌在十字架上最後一句話記在哪一卷福音書？,約翰福音,約翰福音19:30,用來裝飾聖衣的紡線顏色叫什麼？,朱紅線,出埃及記 28:6,約西亞在位共幾年？,31,列王紀下 22:1
124,哪位族長打發老僕人往米所波大米為兒子娶妻？,亞伯拉罕,創世記24:2-4,保羅在哥林多時，神在異象中對他說什麼？,哥林多,使徒行傳18:9-10,「所羅門求智慧，神就賜他聰明過人。」出自哪一卷書？,列王紀上,列王紀上3:12,上帝吩咐用來製作胸牌的物體叫什麼？,金線,出埃及記 28:6,但以理被扔進獅子坑時，有幾位總長設計陷害他？,120,但以理書 6:1–2
125,誰比撒列的助手，被神賜智慧製造會幕？,亞何利亞伯,出埃及記31:6,耶穌在哪座城被孩童迎接為王？,耶路撒冷,馬太福音21:1-11,「耶穌說：『你們的義若不勝於文士和法利賽人的義，斷不能進天國。』」出自哪一卷福音書？,馬太福音,馬太福音5:20,會幕中每日燃燒特製香料的金壇叫什麼？,香壇,出埃及記 30:3,尼布甲尼撒夢見的巨像，由幾種金屬組成？,4,但以理書 2:32–33
126,誰向兩位爭子的婦人提議將嬰孩劈成兩半？,所羅門,列王紀上3:16-27,大衛在哪座城迎接約櫃回歸？,耶路撒冷,撒母耳記下6:12,「罪的工價乃是死；惟有神的恩賜，在我們主基督耶穌裡，乃是永生。」出自哪一卷書？,羅馬書,羅馬書6:23,之後放出的潔淨鳥類，衔回橄欖葉的是什麼？,鴿子,創世記 8:11,四個希伯來青年在火窯中，有幾人被綁著扔進去？,3,但以理書 3:20
127,誰是波阿斯的母親，曾接待探子？,喇合,馬太福音1:5,羅得逃離哪座罪惡之城？,所多瑪,創世記19:14,「約翰說：『我們愛，因為神先愛我們。』」出自哪一卷書？,約翰一書,約翰一書4:19,摩西在曠野舉起、蛇咬者望之得活的金屬像叫什麼？,銅蛇,民數記 21:9,約伯受試煉前，共有幾隻駱駝？,3000,約伯記 1:3
128,誰用詭計使參孫透露力量的來源？,大利拉,士師記16:15-17,保羅在希臘傳道時去過哪座著名城？,雅典,使徒行傳17:19,「耶穌向多馬顯現，讓他摸釘痕。」出自哪一卷福音書？,約翰福音,約翰福音20:26-27,耶穌被釘時，有什麼從祂肋旁流出？,血,約翰福音 19:34,約伯受試煉前，有幾匹驢？,500,約伯記 1:3
129,誰在公會前看見人子站在神的右邊？,司提反,使徒行傳7:55-56,亞伯拉罕最初住在哪個地方，後來蒙召離開？,吾珥,創世記11:31,「耶穌說：『使他們都合而為一。』」出自哪一卷福音書？,約翰福音,約翰福音17:21,上帝在曠野，用什麼遮蓋會幕？,雲,出埃及記 40:34,恢復後，駱駝增加到幾隻？,6000,約伯記 42:12
130,誰為掃羅和約拿單作哀歌：「以色列啊，尊榮者在山上被殺」？,大衛,撒母耳記下1:17-19,保羅被囚兩年等候審訊的城市是哪一座？,該撒利亞,使徒行傳24:27,「保羅在雅典看見『未識之神』的壇。」出自哪一卷書？,使徒行傳,使徒行傳17:23,耶穌在伯賽大醫治瞎子，用什麼抹他的眼？,泥,約翰福音 9:6,耶穌開始傳道時約幾歲？,30,路加福音 3:23
131,耶穌復活後首先向誰顯現？,抹大拉,約翰福音20:14-18,耶穌在哪座城醫治了生來瞎眼的人？,耶路撒冷,約翰福音9:1-7,「耶穌說：『我已將你的名指示他們。』」出自哪一卷福音書？,約翰福音,約翰福音17:26,以利亞在基立溪旁隱藏時，供養他的鳥類是什麼？,烏鴉,列王紀上 17:6,耶穌受洗後，在曠野禁食幾日？,40,馬太福音 4:2
132,誰活到969歲，是世上最長壽的人？,瑪土撒拉,創世記5:27,耶穌在哪座城附近的伯大尼受膏？,耶路撒冷,約翰福音12:1-3,「要常常喜樂，不住地禱告，凡事謝恩。」出自哪一卷書？,帖撒羅尼迦前書,帖撒羅尼迦前書5:16-18,上帝吩咐用來覆蓋會幕頂層的染紅動物皮叫什麼？,公羊皮,出埃及記 26:14,耶穌在迦拿婚宴，有幾口石缸用來裝水？,6,約翰福音 2:6
133,誰寫《啟示錄》？,約翰,傳統,約書亞使日頭停住的戰場是哪座城？,基遍,約書亞記10:12,「耶穌說：『你們心裡不要憂愁。』」出自哪一卷福音書？,約翰福音,約翰福音14:1,大布四角所繫的物件是什麼？,繩子,使徒行傳 10:11,耶穌選立多少位使徒？,12,馬可福音 3:14
134,誰為法老的酒政和膳長解夢？,約瑟,創世記40:8-13,保羅在安提阿被聖靈差遣，那城是？,安提阿,使徒行傳13:1-2,「應當一無掛慮，只要凡事藉著禱告祈求。」出自哪一卷書？,腓立比書,腓立比書4:6,耶穌在稗子比喻中，仇敵所撒的惡種是什麼？,稗子,馬太福音 13:25,耶穌差遣多少人出去傳道，他們歡喜回報，說連鬼也服了他們，共幾人？,70,"路加福音 10:1, 17"
